,Category,Year,Zipcode,no crime of type,no in zipcode total,no in year total,% in zipcode total,% of type
0,ARSON,2003,94102.0,16,17910,149145,0.120084481545,0.000893355667225
1,ARSON,2003,94103.0,20,17445,149145,0.116966710248,0.00114646030381
2,ARSON,2003,94105.0,1,2638,149145,0.0176874853331,0.000379075056861
3,ARSON,2003,94107.0,21,6701,149145,0.0449294310905,0.00313386061782
4,ARSON,2003,94108.0,2,4313,149145,0.0289181668846,0.000463714351959
5,ARSON,2003,94109.0,5,12563,149145,0.0842334640786,0.000397994109687
6,ARSON,2003,94110.0,30,17182,149145,0.115203325623,0.0017460132697
7,ARSON,2003,94111.0,4,2258,149145,0.0151396292199,0.00177147918512
8,ARSON,2003,94112.0,23,7746,149145,0.0519360354018,0.00296927446424
9,ARSON,2003,94114.0,6,4161,149145,0.0278990244393,0.00144196106705
10,ARSON,2003,94115.0,11,6435,149145,0.0431459318113,0.0017094017094
11,ARSON,2003,94116.0,8,2167,149145,0.0145294847296,0.00369173973235
12,ARSON,2003,94117.0,5,5344,149145,0.0358309028127,0.000935628742515
13,ARSON,2003,94118.0,11,4197,149145,0.0281404002816,0.00262091970455
14,ARSON,2003,94121.0,6,2618,149145,0.0175533876429,0.00229182582124
15,ARSON,2003,94122.0,5,3701,149145,0.0248147775655,0.00135098621994
16,ARSON,2003,94123.0,5,2885,149145,0.0193435918066,0.00173310225303
17,ARSON,2003,94124.0,72,10528,149145,0.0705890241041,0.00683890577508
18,ARSON,2003,94127.0,1,1313,149145,0.00880351335948,0.000761614623001
19,ARSON,2003,94131.0,6,2282,149145,0.0153005464481,0.00262927256792
20,ARSON,2003,94132.0,5,3250,149145,0.0217908746522,0.00153846153846
21,ARSON,2003,94133.0,2,4755,149145,0.0318817258373,0.000420609884332
22,ARSON,2003,94134.0,28,4546,149145,0.030480404975,0.00615926088869
23,ARSON,2004,94005.0,1,23,148110,0.000155289987172,0.0434782608696
24,ARSON,2004,94014.0,1,145,148110,0.000979002093039,0.00689655172414
25,ARSON,2004,94015.0,1,13,148110,8.77726014449e-05,0.0769230769231
26,ARSON,2004,94102.0,20,17564,148110,0.118587536291,0.00113869278069
27,ARSON,2004,94103.0,19,17094,148110,0.115414219161,0.0011115011115
28,ARSON,2004,94105.0,1,2317,148110,0.0156437782729,0.000431592576608
29,ARSON,2004,94107.0,22,6778,148110,0.0457632840456,0.00324579521983
30,ARSON,2004,94108.0,3,4166,148110,0.0281277428938,0.000720115218435
31,ARSON,2004,94109.0,19,12175,148110,0.0822024171224,0.00156057494867
32,ARSON,2004,94110.0,23,17392,148110,0.117426237256,0.00132244710212
33,ARSON,2004,94111.0,1,2222,148110,0.0150023631085,0.0004500450045
34,ARSON,2004,94112.0,17,7734,148110,0.0522179461211,0.00219808637186
35,ARSON,2004,94114.0,1,4069,148110,0.0274728242522,0.000245760629147
36,ARSON,2004,94115.0,11,5844,148110,0.0394571602188,0.00188227241615
37,ARSON,2004,94116.0,6,2608,148110,0.0176085341976,0.00230061349693
38,ARSON,2004,94117.0,2,5510,148110,0.0372020795355,0.000362976406534
39,ARSON,2004,94118.0,8,4011,148110,0.027081223415,0.00199451508352
40,ARSON,2004,94121.0,10,2870,148110,0.0193774897036,0.00348432055749
41,ARSON,2004,94122.0,10,3996,148110,0.0269799473364,0.0025025025025
42,ARSON,2004,94123.0,4,2905,148110,0.0196138005536,0.0013769363167
43,ARSON,2004,94124.0,63,10905,148110,0.0736277091351,0.00577716643741
44,ARSON,2004,94127.0,4,1370,148110,0.00924988184457,0.0029197080292
45,ARSON,2004,94131.0,5,2388,148110,0.0161231517116,0.00209380234506
46,ARSON,2004,94132.0,6,3129,148110,0.0211261899939,0.00191754554171
47,ARSON,2004,94133.0,7,4821,148110,0.0325501316589,0.00145198091682
48,ARSON,2004,94134.0,15,4401,148110,0.0297144014584,0.00340831629175
49,ARSON,2005,94102.0,11,16717,142112,0.117632571493,0.00065801280134
50,ARSON,2005,94103.0,21,16612,142112,0.116893717631,0.00126414640019
