,Unnamed: 0,Unnamed: 0.1,Zipcode,Year,Value,mean,Beat Market,Beat Market Numeric,count,sum,percentage
0,0,312,94102,2005,105.0,66.6666666667,True,1,16717,142112,0.117632571493
1,1,313,94103,2005,86.0,66.6666666667,True,1,16612,142112,0.116893717631
2,2,314,94105,2005,25.0,66.6666666667,False,0,2215,142112,0.0155862981311
3,3,315,94107,2005,80.0,66.6666666667,True,1,6896,142112,0.0485251069579
4,4,316,94108,2005,-5.0,66.6666666667,False,0,3880,142112,0.0273024093673
5,5,317,94109,2005,20.0,66.6666666667,False,0,11877,142112,0.0835749268183
6,6,318,94110,2005,109.0,66.6666666667,True,1,16092,142112,0.11323463184
7,7,319,94111,2005,17.0,66.6666666667,False,0,1893,142112,0.0133204796217
8,8,320,94112,2005,70.0,66.6666666667,True,1,7662,142112,0.0539152217969
9,9,321,94114,2005,81.0,66.6666666667,True,1,3920,142112,0.0275838775051
10,10,322,94115,2005,0.0,66.6666666667,False,0,6001,142112,0.0422272573745
11,11,323,94116,2005,72.0,66.6666666667,True,1,2685,142112,0.0188935487503
12,12,324,94117,2005,18.0,66.6666666667,False,0,5508,142112,0.038758162576
13,13,325,94118,2005,98.0,66.6666666667,True,1,3799,142112,0.0267324363882
14,14,326,94121,2005,83.0,66.6666666667,True,1,2428,142112,0.0170851159649
15,15,327,94122,2005,79.0,66.6666666667,True,1,3759,142112,0.0264509682504
16,16,328,94123,2005,73.0,66.6666666667,True,1,3022,142112,0.0212649178113
17,17,329,94124,2005,48.0,66.6666666667,False,0,9893,142112,0.0696141071831
18,18,330,94127,2005,86.0,66.6666666667,True,1,1258,142112,0.00885217293402
19,19,331,94131,2005,100.0,66.6666666667,True,1,2153,142112,0.0151500225175
20,20,332,94132,2005,70.0,66.6666666667,True,1,2961,142112,0.0208356789011
21,21,333,94133,2005,103.0,66.6666666667,True,1,4897,142112,0.034458736771
22,22,334,94134,2005,58.0,66.6666666667,False,0,4240,142112,0.0298356226075
23,23,335,94158,2005,124.0,66.6666666667,True,1,446,142112,0.00313836973655
24,24,336,94102,2006,86.0,56.5,True,1,16965,137853,0.123065874519
25,25,337,94103,2006,65.0,56.5,True,1,16543,137853,0.120004642627
26,26,338,94105,2006,81.0,56.5,True,1,2293,137853,0.0166336604934
27,27,339,94107,2006,83.0,56.5,True,1,5766,137853,0.0418271637179
28,28,340,94108,2006,77.0,56.5,True,1,3837,137853,0.0278339970839
29,29,341,94109,2006,92.0,56.5,True,1,11966,137853,0.0868026085758
30,30,342,94110,2006,82.0,56.5,True,1,15373,137853,0.111517340936
31,31,343,94111,2006,49.0,56.5,False,0,1996,137853,0.0144791916026
32,32,344,94112,2006,55.0,56.5,False,0,7200,137853,0.0522295488673
33,33,345,94114,2006,60.0,56.5,True,1,3762,137853,0.0272899392831
34,34,346,94115,2006,67.0,56.5,True,1,6103,137853,0.044271796769
35,35,347,94116,2006,40.0,56.5,False,0,2396,137853,0.0173808332064
36,36,348,94117,2006,46.0,56.5,False,0,5229,137853,0.0379317098649
37,37,349,94118,2006,22.0,56.5,False,0,3523,137853,0.0255562084249
38,38,350,94121,2006,25.0,56.5,False,0,2058,137853,0.0149289460512
39,39,351,94122,2006,33.0,56.5,False,0,3395,137853,0.0246276831117
40,40,352,94123,2006,31.0,56.5,False,0,2671,137853,0.019375711809
41,41,353,94124,2006,60.0,56.5,True,1,10290,137853,0.0746447302561
42,42,354,94127,2006,41.0,56.5,False,0,1314,137853,0.00953189266828
43,43,355,94131,2006,49.0,56.5,False,0,2066,137853,0.0149869788833
44,44,356,94132,2006,32.0,56.5,False,0,2797,137853,0.0202897289141
45,45,357,94133,2006,19.0,56.5,False,0,4831,137853,0.0350445764691
46,46,358,94134,2006,67.0,56.5,True,1,3966,137853,0.0287697765011
47,47,359,94158,2006,94.0,56.5,True,1,343,137853,0.0024881576752
48,48,360,94102,2007,16.0,-1.70833333333,True,1,19282,137639,0.140091107898
49,49,361,94103,2007,-28.0,-1.70833333333,False,0,17163,137639,0.124695762102
50,50,362,94105,2007,39.0,-1.70833333333,True,1,2205,137639,0.0160201687022
51,51,363,94107,2007,2.0,-1.70833333333,True,1,5786,137639,0.0420375039051
52,52,364,94108,2007,76.0,-1.70833333333,True,1,3863,137639,0.028066173105
53,53,365,94109,2007,-5.0,-1.70833333333,False,0,11842,137639,0.0860366611208
54,54,366,94110,2007,-41.0,-1.70833333333,False,0,15374,137639,0.111697992575
55,55,367,94111,2007,8.0,-1.70833333333,True,1,1918,137639,0.013935003887
56,56,368,94112,2007,9.0,-1.70833333333,True,1,7442,137639,0.0540689775427
57,57,369,94114,2007,-28.0,-1.70833333333,False,0,3288,137639,0.023888578092
58,58,370,94115,2007,-1.0,-1.70833333333,True,1,5152,137639,0.0374312513169
59,59,371,94116,2007,-10.0,-1.70833333333,False,0,2164,137639,0.0157222880143
60,60,372,94117,2007,-32.0,-1.70833333333,False,0,4945,137639,0.0359273171122
61,61,373,94118,2007,-27.0,-1.70833333333,False,0,3605,137639,0.0261917043861
62,62,374,94121,2007,-6.0,-1.70833333333,False,0,2210,137639,0.0160564956153
63,63,375,94122,2007,-24.0,-1.70833333333,False,0,3210,137639,0.0233218782467
64,64,376,94123,2007,37.0,-1.70833333333,True,1,2623,137639,0.0190570986421
65,65,377,94124,2007,5.0,-1.70833333333,True,1,9743,137639,0.0707866229775
66,66,378,94127,2007,-6.0,-1.70833333333,False,0,1075,137639,0.00781028632873
67,67,379,94131,2007,-29.0,-1.70833333333,False,0,1727,137639,0.0125473158044
68,68,380,94132,2007,24.0,-1.70833333333,True,1,2459,137639,0.0178655758906
69,69,381,94133,2007,9.0,-1.70833333333,True,1,4891,137639,0.0355349864501
70,70,382,94134,2007,-8.0,-1.70833333333,False,0,4081,137639,0.0296500265186
71,71,383,94158,2007,-21.0,-1.70833333333,False,0,422,137639,0.00306599147044
72,72,384,94102,2008,1.0,22.2083333333,False,0,20964,141311,0.148353631352
73,73,385,94103,2008,23.0,22.2083333333,True,1,16126,141311,0.114117089257
74,74,386,94105,2008,31.0,22.2083333333,True,1,2334,141311,0.0165167609033
75,75,387,94107,2008,30.0,22.2083333333,True,1,6110,141311,0.0432379644897
76,76,388,94108,2008,-21.0,22.2083333333,False,0,3970,141311,0.0280940620334
77,77,389,94109,2008,24.0,22.2083333333,True,1,11796,141311,0.0834754548478
78,78,390,94110,2008,33.0,22.2083333333,True,1,16644,141311,0.117782762842
79,79,391,94111,2008,78.0,22.2083333333,True,1,1996,141311,0.014124873506
80,80,392,94112,2008,-16.0,22.2083333333,False,0,7208,141311,0.0510080602359
81,81,393,94114,2008,48.0,22.2083333333,True,1,3511,141311,0.0248459072542
